ts,cmd_sent,p0,p1,p2,p3,voltage_v,temp_c,uptime_ms,ax,ay,az,gx,gy,gz,packets_per_sec,errors_since_start
1776639003.539,pose:bow_front,1507,1500,1500,1500,7.80,25.0,100,0.000,0.000,1.000,0.100,-0.100,0.000,0.0,0
1776639003.942,tick,1288,1500,1500,1500,7.80,25.0,500,0.000,0.000,1.000,0.100,-0.100,0.000,0.0,0
1776639003.942,pose:lean_right,1288,1500,1500,1500,7.80,25.0,500,0.000,0.000,1.000,0.100,-0.100,0.000,0.0,0
1776639004.446,sweep:neutral,1640,1500,1500,1500,7.80,25.0,1000,0.000,0.000,1.000,0.100,-0.100,0.000,5.0,0
1776639004.446,pose:lean_left,1640,1500,1500,1500,7.80,25.0,1000,0.000,0.000,1.000,0.100,-0.100,0.000,5.0,0
1776639004.951,tick,1440,1500,1500,1500,7.80,25.0,1500,0.000,0.000,1.000,0.100,-0.100,0.000,5.0,0
1776639005.457,pose:neutral,1342,1500,1500,1500,7.80,25.0,2000,0.000,0.000,1.000,0.100,-0.100,0.000,10.0,0
1776639006.042,tick,1409,1500,1500,1500,7.80,25.0,2600,0.000,0.000,1.000,0.100,-0.100,0.000,10.0,0
1776639006.042,sweep:lean_left,1409,1500,1500,1500,7.80,25.0,2600,0.000,0.000,1.000,0.100,-0.100,0.000,10.0,0
1776639006.042,pose:neutral(imu-win),1409,1500,1500,1500,7.80,25.0,2600,0.000,0.000,1.000,0.100,-0.100,0.000,10.0,0
1776639007.052,imu_sanity,1411,1500,1500,1500,7.80,25.0,3600,0.000,0.000,1.000,0.100,-0.100,0.000,10.0,0
1776639008.140,imu_sanity,1429,1500,1500,1500,7.80,25.0,4700,0.000,0.000,1.000,0.100,-0.100,0.000,10.0,0
1776639009.148,imu_sanity,1430,1500,1500,1500,7.80,25.0,5700,0.000,0.000,1.000,0.100,-0.100,0.000,10.0,0
1776639010.155,imu_sanity,1431,1500,1500,1500,7.80,25.0,6700,0.000,0.000,1.000,0.100,-0.100,0.000,10.0,0
1776639011.142,imu_sanity,1429,1500,1500,1500,7.80,25.0,7700,0.000,0.000,1.000,0.100,-0.100,0.000,10.0,0
1776639012.152,imu_sanity,1431,1500,1500,1500,7.80,25.0,8700,0.000,0.000,1.000,0.100,-0.100,0.000,10.0,0
1776639013.140,imu_sanity,1428,1500,1500,1500,7.80,25.0,9700,0.000,0.000,1.000,0.100,-0.100,0.000,10.0,0
